"","Jdate","basin_id","term","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","sigma","statistic.y","p.value.y","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"80",40,"ShopeFork","regression coefficient",0.0362334372708404,0.00184709594829241,19.6164348172261,1.06732855678744e-16,0.938995303641901,0.936555115787577,99.6407504844175,NA,NA,NA,-156.023384372775,316.046768745549,318.562961821592,248206.978927449,25,26
"81",41,"BallCreek","regression coefficient",0.030611084328788,0.00114024125385121,26.8461470109047,5.67868711946365e-16,0.975633383439266,0.974279682519225,133.947367020998,NA,NA,NA,-119.497685376774,242.995370753547,244.88424871188,322954.148373445,18,19
"82",41,"ShopeFork","regression coefficient",0.0371362445907268,0.00186827128243363,19.8773298823888,7.81940216902756e-17,0.940491527120723,0.938111188205552,100.783044249687,NA,NA,NA,-156.319755963994,316.639511927987,319.15570500403,253930.550205861,25,26
"83",42,"BallCreek","regression coefficient",0.0314166536818806,0.0011487546313036,27.3484457218068,4.09855231156749e-16,0.97649938749553,0.975193797911948,134.947457563549,NA,NA,NA,-119.639018018299,243.278036036599,245.166913994932,327794.693451586,18,19
"84",42,"ShopeFork","regression coefficient",0.0380624030606903,0.00189032646524249,20.1353595585447,5.76858304470437e-17,0.941918911514804,0.939595667975396,101.972801050993,NA,NA,NA,-156.624891747749,317.249783495499,319.765976571542,259961.303854637,25,26
"85",43,"BallCreek","regression coefficient",0.0322441115643922,0.00115749407166675,27.8568265304045,2.96350952765047e-16,0.977330054308503,0.976070612881197,135.974104355995,NA,NA,NA,-119.783018239539,243.566036479078,245.454914437411,332801.226997471,18,19
"86",43,"ShopeFork","regression coefficient",0.0390125018473656,0.00191330487883073,20.3901125633502,4.2865656194486e-17,0.943279363540983,0.941010538082623,103.212361116614,NA,NA,NA,-156.939036819875,317.87807363975,320.394266715793,266319.78718166,25,26
"87",44,"BallCreek","regression coefficient",0.0330940667963552,0.00116649558571145,28.3705032421285,2.14778769568157e-16,0.978125752608855,0.97691051664268,137.031537685493,NA,NA,NA,-119.930204455793,243.860408911586,245.749286869919,337997.561768111,18,19
"88",44,"ShopeFork","regression coefficient",0.0399871714196729,0.00193723767275582,20.6413348150457,3.20874587714434e-17,0.944575578987506,0.942358602147006,104.503404795255,NA,NA,NA,-157.262243561147,318.524487122295,321.040680198338,273024.040345023,25,26
"89",45,"BallCreek","regression coefficient",0.0339671454536132,0.00117579904561671,28.8885635519438,1.56105957057824e-16,0.978886846618514,0.977713893652876,138.12444144975,NA,NA,NA,-120.081139069583,244.162278139165,246.051156097498,343410.503864496,18,19
